Departamento,Distrito,SINDROME Y/O TRASTORNO PSICOTICO,TRASTORNO DE CONSUMO DE ALCOHOL,TRASTORNO DE CONSUMO DE DROGAS,TRASTORNO DE CONSUMO DE TABACO,TRASTORNO DEPRESIVO,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,SOLO TAMIZAJES POSITIVOS,TAMIZAJES C/CONDICION ADICIONAL VIOLENCIA POLITICA,TOTAL DE TAMIZAJES
PUNO,CRUCERO,0.0,3.0,0.0,0.0,8.0,39.0,50.0,0.0,743.0
PUNO,CUPI,0.0,0.0,0.0,0.0,3.0,2.0,5.0,0.0,177.0
PUNO,CUTURAPI,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,68.0
PUNO,DESAGUADERO,0.0,1.0,0.0,1.0,5.0,4.0,11.0,0.0,155.0
PUNO,HUANCANE,0.0,0.0,0.0,0.0,3.0,23.0,26.0,0.0,699.0
PUNO,HUAYRAPATA,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,111.0
PUNO,ILAVE,1.0,14.0,2.0,0.0,85.0,112.0,214.0,0.0,1757.0
PUNO,ITUATA,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,566.0
PUNO,JOSE DOMINGO CHOQUEHUANCA,0.0,0.0,0.0,0.0,11.0,8.0,19.0,0.0,183.0
PUNO,JULI,0.0,0.0,0.0,0.0,1.0,43.0,44.0,0.0,692.0
PUNO,JULIACA,0.0,1.0,0.0,0.0,9.0,6.0,16.0,0.0,1453.0
PUNO,LAMPA,0.0,1.0,0.0,0.0,0.0,23.0,24.0,0.0,545.0
PUNO,LLALLI,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,79.0
PUNO,MACARI,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,774.0
PUNO,MACUSANI,0.0,1.0,0.0,0.0,7.0,22.0,30.0,0.0,573.0
PUNO,MOHO,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,233.0
PUNO,MU�ANI,0.0,2.0,0.0,0.0,10.0,25.0,37.0,0.0,644.0
PUNO,NICASIO,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,89.0
PUNO,NU�OA,0.0,3.0,0.0,0.0,14.0,26.0,43.0,34.0,1042.0
PUNO,OCUVIRI,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,114.0
