Distrito,Departamento,SINDROME Y/O TRASTORNO PSICOTICO,TRASTORNO DE CONSUMO DE ALCOHOL,TRASTORNO DE CONSUMO DE DROGAS,TRASTORNO DE CONSUMO DE TABACO,TRASTORNO DEPRESIVO,VIOLENCIA FAMILIAR/MALTRATO INFANTIL,SOLO TAMIZAJES POSITIVOS,TAMIZAJES C/CONDICION ADICIONAL VIOLENCIA POLITICA,TOTAL DE TAMIZAJES,TOTAL GENERALIZADO,Ratio T PSICOTICO positivo,Ratio T ALCOHOL positivo,Ratio T DROGAS positivo,Ratio T TABACO positivo,Ratio T DEPRESIVO positivo,Ratio VIOLENCIA positivo,Ratio Tamizaje Nopositivo,Ratio Tamizaje positivo,Ratio Tamizaje positivo condicion,Cluster
POCOHUANCA,APURIMAC,0.0,1.0,1.0,0.0,0.0,9.0,11.0,3.0,964.0,978.0,0.0,1.1753505483010308e-05,1.1753505483010308e-05,0.0,0.0,0.00010578154934709277,0.00045448587935002863,5.186042191753439e-06,1.4143751432054833e-06,0
POMACOCHA,APURIMAC,0.0,0.0,0.0,0.0,0.0,2.0,2.0,19.0,361.0,382.0,0.0,0.0,0.0,0.0,0.0,2.3507010966020617e-05,0.00017019647556572648,9.429167621369889e-07,8.957709240301394e-06,0
PROGRESO,APURIMAC,0.0,12.0,0.0,0.0,20.0,63.0,95.0,19.0,3473.0,3587.0,0.0,0.0001410420657961237,0.0,0.0,0.00023507010966020617,0.0007404708454296494,0.0016373749574508812,4.478854620150697e-05,8.957709240301394e-06,0
RANRACANCHA,APURIMAC,0.0,0.0,0.0,0.0,6.0,7.0,13.0,0.0,3617.0,3630.0,0.0,0.0,0.0,0.0,7.052103289806185e-05,8.227453838107215e-05,0.0017052649643247444,6.128958953890427e-06,0.0,0
SABAINO,APURIMAC,1.0,1.0,0.0,0.0,0.0,3.0,5.0,2.0,3687.0,3694.0,1.1753505483010308e-05,1.1753505483010308e-05,0.0,0.0,0.0,3.5260516449030925e-05,0.001738267050999539,2.357291905342472e-06,9.429167621369889e-07,0
SAN ANTONIO,APURIMAC,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,268.0,269.0,0.0,0.0,0.0,0.0,0.0,1.1753505483010308e-05,0.00012635084612635652,4.7145838106849444e-07,0.0,0
SAN ANTONIO DE CACHI,APURIMAC,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,729.0,732.0,0.0,0.0,0.0,0.0,2.3507010966020617e-05,1.1753505483010308e-05,0.00034369315979893245,1.4143751432054833e-06,0.0,0
SAN JERONIMO,APURIMAC,0.0,5.0,1.0,0.0,11.0,18.0,35.0,2.0,5878.0,5915.0,0.0,5.876752741505154e-05,1.1753505483010308e-05,0.0,0.0001292885603131134,0.00021156309869418554,0.00277123236392061,1.6501043337397303e-05,9.429167621369889e-07,0
SAN JUAN DE CHAC�A,APURIMAC,0.0,0.0,0.0,0.0,8.0,3.0,11.0,2.0,573.0,586.0,0.0,0.0,0.0,0.0,9.402804386408247e-05,3.5260516449030925e-05,0.0002701456523522473,5.186042191753439e-06,9.429167621369889e-07,0
SAN MIGUEL DE CHACCRAMPA,APURIMAC,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,838.0,840.0,0.0,0.0,0.0,0.0,0.0,2.3507010966020617e-05,0.0003950821233353983,9.429167621369889e-07,0.0,0
SAN PEDRO DE CACHORA,APURIMAC,0.0,8.0,0.0,0.0,0.0,40.0,48.0,2.0,1936.0,1986.0,0.0,9.402804386408247e-05,0.0,0.0,0.0,0.00047014021932041233,0.0009127434257486051,2.2630002291287733e-05,9.429167621369889e-07,0
